date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:45	1280/1280	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2016:48:41%20GMT	https://copyexptrade.com/robots.txt		(from )
17:48:45	120440/120440	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:41%20GMT	https://copyexptrade.com/	C:/My%20Web%20Sites/collins/copyexptrade.com/index.html	(from )
17:48:47	19523/19523	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202023%2014:30:23%20GMT	https://copyexptrade.com/assets/images/logoIcon/favicon.png	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/images/logoIcon/favicon.png	(from https://copyexptrade.com/)
17:48:49	148816/148816	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202023%2014:26:31%20GMT	https://copyexptrade.com/assets/images/logoIcon/logo.png	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/images/logoIcon/logo.png	(from https://copyexptrade.com/)
17:48:50	25529/25529	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jul%202022%2016:14:02%20GMT	https://copyexptrade.com/assets/images/seo/62e1644a6eaf71658938442.jpeg	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/images/seo/62e1644a6eaf71658938442.jpg	(from https://copyexptrade.com/)
17:48:53	425248/425248	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202023%2005:58:06%20GMT	https://copyexptrade.com/assets/templates/basic/newfront/css/main797c.css?v=1669374276	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/templates/basic/newfront/css/main797c797c.css	(from https://copyexptrade.com/)
17:48:54	27451/27451	---M--	200	added ('OK')	application/javascript	date:Mon,%2028%20Nov%202022%2003:37:54%20GMT	https://copyexptrade.com/assets/templates/basic/newfront/js/scer.js	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/templates/basic/newfront/js/scer.js	(from https://copyexptrade.com/)
17:48:55	436369/436369	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202023%2014:20:42%20GMT	https://copyexptrade.com/assets/templates/basic/newfront/css/main797cc.css?v=1669374276	C:/My%20Web%20Sites/collins/copyexptrade.com/assets/templates/basic/newfront/css/main797cc797c.css	(from https://copyexptrade.com/)
17:48:56	46903/46903	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:51%20GMT	https://copyexptrade.com/copytrading	C:/My%20Web%20Sites/collins/copyexptrade.com/copytrading.html	(from https://copyexptrade.com/)
17:48:57	36505/36505	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:53%20GMT	https://copyexptrade.com/options	C:/My%20Web%20Sites/collins/copyexptrade.com/options.html	(from https://copyexptrade.com/)
17:48:59	36617/36617	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:54%20GMT	https://copyexptrade.com/stocks	C:/My%20Web%20Sites/collins/copyexptrade.com/stocks.html	(from https://copyexptrade.com/)
17:49:00	64130/64130	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:56%20GMT	https://copyexptrade.com/forex	C:/My%20Web%20Sites/collins/copyexptrade.com/forex.html	(from https://copyexptrade.com/)
17:49:01	39613/39613	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:57%20GMT	https://copyexptrade.com/crypto	C:/My%20Web%20Sites/collins/copyexptrade.com/crypto.html	(from https://copyexptrade.com/)
17:49:03	41762/41762	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:48:59%20GMT	https://copyexptrade.com/nfp	C:/My%20Web%20Sites/collins/copyexptrade.com/nfp.html	(from https://copyexptrade.com/)
17:49:04	45872/45872	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:49:00%20GMT	https://copyexptrade.com/realestate	C:/My%20Web%20Sites/collins/copyexptrade.com/realestate.html	(from https://copyexptrade.com/)
17:49:06	45174/45174	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2016:49:02%20GMT	https://copyexptrade.com/infrastructure	C:/My%20Web%20Sites/collins/copyexptrade.com/infrastructure.html	(from https://copyexptrade.com/)
